feature,gain
uc_behav_2_14d,36.10659122467041
uc_behav_2_2d,35.20409965515137
uc_behav_2_4d,32.99660110473633
c_buy_users_28d,32.405999183654785
recall_u2i,30.075599670410156
u_buy_days_1d,29.632999420166016
recall_u2c2i,27.949700355529785
ui_active_days_2d,25.906400680541992
ui_behav_2_4d,23.60110092163086
c_buy_users_4d,22.434999465942383
ui_behav_4_1d,20.14699935913086
c_behav_1_14d,18.53934955596924
ui_behav_2_1d,16.256500244140625
i_buy_users_4d,15.935400009155273
c_interact_users_7d,14.157999992370605
c_behav_2_28d,13.279399871826172
c_buy_users_21d,10.849100112915039
recall_itemcf,10.366999626159668
ui_behav_2_28d,8.453789710998535
ui_behav_3_2d,0.0
u_active_days_1d,0.0
ui_fav_in_normal,0.0
ui_cart_in_prom,0.0
ui_fav_in_prom,0.0
uc_active_days_1d,0.0
ui_behav_3_1d,0.0
ui_behav_4_2d,0.0
ui_behav_2_14d,0.0
ui_behav_2_21d,0.0
ui_behav_2_2d,0.0
c_buy_users_7d,0.0
c_interacted_items_7d,0.0
c_interacted_items_14d,0.0
c_interacted_items_28d,0.0
c_interacted_items_21d,0.0
u_active_days_2d,0.0
c_interact_users_28d,0.0
